speaker_first_name,speaker_last_name,speaker_title,company_name,speaker_linkedin,talk_title,event_name,event_date,event_location,website,city,state,category,source_url
From,Emerging Funds to Industry Giants,Every Type of Manager,Every Type of Manager,,,Global Alts New York 2026,September 2026 (TBC),New York,,,,speaker,https://iconnections.io
The,Ecosystem Powering Alternatives,The full network of service providers that support fund managers and allocators across the alternatives industry.,Plus the Service Providers Powering Alternatives,,,Global Alts New York 2026,September 2026 (TBC),New York,,,,speaker,https://iconnections.io
Global,Alts Asia,,"November 16–18, 2026",,,Global Alts New York 2026,September 2026 (TBC),New York,,,,speaker,https://iconnections.io
Global,Alts Miami,,"February 22–25, 2027",,,Global Alts New York 2026,September 2026 (TBC),New York,,,,speaker,https://iconnections.io
Global,Alts Europe,,"April 28–29, 2027",,,Global Alts New York 2026,September 2026 (TBC),New York,,,,speaker,https://iconnections.io
Global,Alts New York,,"June 08–09, 2027",,,Global Alts New York 2026,September 2026 (TBC),New York,,,,speaker,https://iconnections.io
Coffee,& Connections,,"Morning networking sessions in major financial centers. Informal, high-signal",,,Global Alts New York 2026,September 2026 (TBC),New York,,,,speaker,https://iconnections.io
Roundtables,& Breakfasts,,"Curated small-group discussions on specific strategies, markets, or themes,",,,Global Alts New York 2026,September 2026 (TBC),New York,,,,speaker,https://iconnections.io
Webinars,& Thought Leadership,,"Regular virtual programming featuring allocators, managers, and industry leaders",,,Global Alts New York 2026,September 2026 (TBC),New York,,,,speaker,https://iconnections.io
Manager,Showcases,Virtual spotlights where emerging and established managers present directly to an,engaged allocator audience.,,,Global Alts New York 2026,September 2026 (TBC),New York,,,,speaker,https://iconnections.io
Ask,the Allocator,Live Q&A sessions with CIOs,"portfolio managers, and allocator panels. Real",,,Global Alts New York 2026,September 2026 (TBC),New York,,,,speaker,https://iconnections.io
Capital,Introduction Platform,,,,,Global Alts New York 2026,September 2026 (TBC),New York,,,,speaker,https://iconnections.io
Capitalize,For Kids,,Investors Conference · Toronto,,,Global Alts New York 2026,September 2026 (TBC),New York,,,,speaker,https://iconnections.io
Featured,speakers include,Managing Partner and Co-Chief Executive Officer,ACORE Capital,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Warren,de Haan,Managing Partner and Co-Chief Executive Officer,ACORE Capital,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Bert,van den Hoek,Head of New York,Bouwinvest,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
Mark,Gabbay,Global CEO,LaSalle Investment Management,,,Private Debt Investor New York Forum 2026,"September 15–16, 2026",New York,,,,speaker,https://www.peievents.com/en/speaker
