speaker_first_name,speaker_last_name,speaker_title,company_name,speaker_linkedin,talk_title,event_name,event_date,event_location,website,city,state,category,source_url
Woman,in Private Market,Startup Founder,Who’s eligible,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026
Startup,Founder,Founders who’ve raised at least a Series A round,"based in Southeast Asia, India, or Greater China, are invited to apply.",,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026
Northstar,Group,the Head of Southeast Asia for Standard Chartered Private Equity,and a Principal at Lehman Brothers Private Equity Asia.,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
Southeast,Asia,covering a broad range of sectors,transaction types and stages.,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
Asia,Partners,Mr. Nash was the Group President of Sea,Greater Southeast Asia’s leading internet company,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
Young,Presidents Organization,a board member for Room to Read in Singapore,and a board member of Endeavor Indonesia.,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
San,Francisco,and co-managing partner at TPG Asia (formerly known as Newbridge Capital).,,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
Georgetown,University,an MBA from the Wharton School of Business and a Juris Doctor from Columbia Unive,,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
Qiming,Venture Partners,focusing on its internet and consumer sectors. Ms. Wong’s successful exits includ,,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
Adams,Street,she was a Senior Vice President of GIC Special Investments (GICSI),which is the private equity arm of the Government of Singapore Investment Corpora,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
Walden,International,a US-headquartered venture capital firm,NatSteel Ltd.,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
Managing,Director,Chairman of Asia Pacific Investment Banking and a member of J.P. Morgan’s Global,,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
Partners,Group,he worked at J.P. Morgan Partners (Private Equity,South and Southeast Asia) and Helix Investments (India Head,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
Innovation,Advisory Council,and of Globe’s Innovation Advisory Board. She is a Senior Vice President at Globe,,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
New,Business,and a member of the Board of Directors of AdSpark,Globe’s wholly owned digital advertising subsidiary. Minette has held a number of,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
Draper,Fisher Jurvetson,acting also as the founding partner of its Asia Pacific Operations,he led the investment into Baidu and remained its largest backer until IPO.,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
Mr,Lim,along with the Board of Directors of ARA,is also a recipient of the prestigious Best Managed Board (Gold) Award at the Sin,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
Everstone,Group,a leading alternative investment firm. Headquartered in Singapore,Everstone manages assets in excess of USD 5 billion with approximately 250 people,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/speakers
Joji,Thomas Philip,Editor-in-Chief and Founder,DealStreetAsia,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
The,Numbers Story Andi Haswidi,Head – Asean Research,DealStreetAsia,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Jeffrey,Perlman,Managing Director,Head of Southeast Asia,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Kenneth,Gaw,President,Managing Principal,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Cyrus,Driver,Managing Director,Private Equity Asia,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Partners,Group Dr Thomas Lanyi,Managing Director,CDH Investment Advisory Private Limited,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Rodney,Muse,Co-Managing Partner,Navis Capital,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Thura,Ko,Managing Director,YGA Capital Limited,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
David,Ireland,Partner,Navis Capital Partners,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
East,Asia Iesan Tsai,Managing Director & Head of Private Investments,Kiri Capital,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Alexandre,Schmitz,Managing Partner,Head of Asia Pacific,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
International,Finance Corporation Anupum Khaitan,Principal,Symphony Asia Holdings (Moderator),,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Jie,Gong,Partner,Pantheon Ventures,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Andy,Wang,Partner,Primary Investments,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Adams,Street Partners Joji Thomas Philip,Editor-in-Chief and Founder,DealStreetAsia,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Ming,Maa,President,Grab,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Haresh,Chawla,Partner,True North (formerly India Value fund),,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Govindraj,Ethiraj,Founder,BoomFactCheck ; Founder & Managing Trustee,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Vijay,Shekhar Sharma,Founder,One97 & Paytm,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Joydeep,Chakraborty,Chief Strategy Officer,Traveloka,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Andree,Susanto,Co-founder & CEO,Waresix,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Andy,Ho,Managing Director & Chief Investment Officer,VinaCapital,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Chris,Freund,Partner,Mekong Capital,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Niraan,De Silva,Managing Director & Executive Board Member,VN LIFE & VN PAY,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Stefanus,Hadiwidjaja,Managing Director,Creador,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Sunata,Tjiterosampurno,Co-Chief Investment Officer & Member of the Investment Committee,Northstar Group,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
Bukalapak,Andi Haswidi,Head,Asean Research,,,Asia PE-VC Summit 2026,"September 23–24, 2026","Grand Copthorne Waterfront, Singapore",,,,speaker,https://events.dealstreetasia.com/sg-2026/agenda
